Nom,Indicador Refugi,Latitud,Longitud,Accessibilitat,Aigua potable,Climatització,Àrea Descans,Lavabos,Adreça,Tipologia Refugi,Origen Identificador,Última Actualització,Categoria,Gratuït,Accés Lliure,Equipament_unic
Pati de l'institut Escola Tramuntana,080193|PATI_DE_L_INSTITUT_ESCOLA_TRAMUNTANA,41.43871,2.189824,Sí,Sí,No,Sí,No,"C. de Guardiola i Feliu, 7-9 (entrada pel C. Lanzarote)",Patis d'Escola,Ajuntament de Barcelona,2026-06-23 15:23:00,Pati d'Escola,Sí,Restringit,True
Ca l'Alier - Centre d’Innovació Urbana,080193|CA_L_ALIER_CENTRE_D_INNOVACIO_URBANA,41.40986,2.203492,Sí,Sí,Sí,Sí,Sí,"C Pere IV, 362",Equipaments de ciutat,Ajuntament de Barcelona,2026-06-23 15:23:00,Equipament de Ciutat,Sí,Restringit,True
Oficina de atención al público de Endesa,080193|OFICINA_DE_ATENCION_AL_PUBLICO_DE_ENDESA,41.38729,2.16594,Sí,Sí,Sí,Sí,Sí,Gran Via de les Corts Catalanes  608,_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,No,True
Gremi de reformes d'interiors,080193|GREMI_DE_REFORMES_D_INTERIORS,41.438975,2.19086,Sí,Sí,Sí,Sí,Sí,Passeig de Torras i Bages 55,_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,No,True
Oficina de Bonavista Apartments,080193|OFICINA_DE_BONAVISTA_APARTMENTS,41.397798,2.159046,Altres,Sí,Sí,Sí,Sí,"Carrer Bonavista, 4",_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,No,True
Bloc4BCN - Espai Cooperatiu,080193|BLOC4BCN_ESPAI_COOPERATIU,41.369615,2.137463,Altres,Sí,Sí,Sí,Sí,"Carrer de la Constitució, 19",Equipaments de ciutat,Ajuntament de Barcelona,2026-06-23 15:23:00,Equipament de Ciutat,Sí,Restringit,True
Església Evangèlica Baptista de Gràcia (EEBG),080193|ESGLESIA_EVANGELICA_BAPTISTA_DE_GRACIA_EEBG,41.40952,2.151394,Sí,Sí,Sí,Sí,Sí,Carrer Verdi 191,Centres de culte,Ajuntament de Barcelona,2026-06-23 15:23:00,Centre de Culte,Sí,Parcialment,True
Fnac Rambles,080193|FNAC_RAMBLES,41.37327,2.168369,Sí,Sí,Sí,Sí,Sí,"La Rambla de Canaletes, 131",_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,Sí,True
Associació Catalana de Recursos Assistencials (ACRA),080193|ASSOCIACIO_CATALANA_DE_RECURSOS_ASSISTENCIALS_ACRA,41.37911,2.155798,Sí,Sí,Sí,Sí,Sí,"Carrer de Calàbria, 236 -240 (local)",_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,No,True
Farmàcia Dr. Jesús Paterna,080193|FARMACIA_DR_JESUS_PATERNA,41.41899,2.210454,Sí,No,Sí,Sí,No,"Bernat Metge, 6-8 (local6)",_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,No,True
Farmàcia Amílcar,080193|FARMACIA_AMILCAR,41.42991,2.172032,Sí,Sí,Sí,Sí,Sí,Carrer d'Amílcar 7,_microRefugi,Ajuntament de Barcelona,2026-06-23 15:23:00,Microrefugi,Parcialment,No,True
Jocs d'aigua de la Plaça de Harry Walker,080193|JOCS_D_AIGUA_DE_LA_PLACA_DE_HARRY_WALKER,41.439763,2.181503,Sí,Sí,No (aire lliure),Sí,No,Plaça de Harry Walker,Jocs d'aigua,Ajuntament de Barcelona,2026-06-23 15:23:00,Joc d'Aigua,Sí,Sí,True
INTERIOR:  Hall CCCB (mes d'agost),080193|INTERIOR_HALL_CCCB_MES_D_AGOST,41.3837,2.166633,Sí,Sí,Sí,Sí,Sí,"C. de Montalegre, 5",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,False
INTERIOR: Vestíbul CCCB planta -1 (16 juny-13 setembre),080193|INTERIOR_VESTIBUL_CCCB_PLANTA_1_16_JUNY_13_SETEMBRE,41.3837,2.166633,Sí,Sí,Sí,Sí,Sí,"C. de Montalegre, 5",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,False
"INTERIOR: Espai familiar CCCB planta 0 (16 juny-6 setembre, tardes)",080193|INTERIOR_ESPAI_FAMILIAR_CCCB_PLANTA_0_16_JUNY_6_SETEMBRE_TARDES,41.3837,2.166633,Sí,Sí,Sí,Sí,Sí,"C. de Montalegre, 5",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,False
EXTERIOR: Pati de les Dones CCCB (obert cada dia),080193|EXTERIOR_PATI_DE_LES_DONES_CCCB_OBERT_CADA_DIA,41.3837,2.166633,Sí,Sí,No,Sí,Sí,"C. de Montalegre, 5",Museus,Ajuntament de Barcelona,2026-06-23 15:23:00,Museu,Parcialment,Sí,False
Biblioteca La Trinitat Vella – José Barbero,080193|BIBLIOTECA_LA_TRINITAT_VELLA_JOSE_BARBERO,41.449314,2.190766,Sí,Sí,Sí,Sí,Sí,"Carrer de Galícia, 16",Biblioteques,Ajuntament de Barcelona,2026-07-04 00:00:00,Biblioteca,Sí,Sí,True
Supermercat Consum *Av. Madrid 46,080193|SUPERMERCAT_CONSUM_AV_MADRID_46,41.37727,2.125668,Sí,Sí,Sí,No,Sí,"Avinguda de Madrid, 46",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *av. Meridiana,080193|SUPERMERCAT_CONSUM_AV_MERIDIANA,41.419362,2.18723,Sí,Sí,Sí,No,Sí,"Avinguda Meridiana, 260",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Borrell,080193|SUPERMERCAT_CONSUM_BORRELL,41.375669,2.164679,Sí,Sí,Sí,No,Sí,"Carrer del Comte Borrell, 9",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Alcúdia,080193|SUPERMERCAT_CONSUM_ALCUDIA,41.435965,2.174227,Sí,Sí,Sí,No,Sí,"Carrer d'Alcúdia, 47",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Gran de Sant Andreu,080193|SUPERMERCAT_CONSUM_GRAN_DE_SANT_ANDREU,41.438236,2.189015,Sí,Sí,Sí,No,Sí,"Carrer Gran de Sant Andreu, 356",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Biblioteca Jaume Fuster,080193|BIBLIOTECA_JAUME_FUSTER,41.407491,2.149775,Sí,Sí,Sí,Sí,Sí,"Plaça de Lesseps, 20",Biblioteques,Ajuntament de Barcelona,2026-07-04 00:00:00,Biblioteca,Sí,Sí,True
Pavellons Poliesportius Municipals Camp del Ferro,080193|PAVELLONS_POLIESPORTIUS_MUNICIPALS_CAMP_DEL_FERRO,41.427869,2.193564,Sí,Sí,Sí,Sí,Sí,"Plaça d'Albert Badia i Mur, 1",Complexos esportius,Ajuntament de Barcelona,2026-07-04 00:00:00,Complex Esportiu,Parcialment,Sí,True
Supermercat Consum *Entença,080193|SUPERMERCAT_CONSUM_ENTENCA,41.376766,2.154579,Sí,Sí,Sí,No,Sí,"Carrer d'Entença, 28",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Llibreria The Book Bar,080193|LLIBRERIA_THE_BOOK_BAR,41.438701,2.188912,Sí,Sí,Sí,Sí,Sí,"Carrer Gran de Sant Andreu, 368",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Avinguda Roma,080193|SUPERMERCAT_CONSUM_AVINGUDA_ROMA,41.381595,2.146502,Sí,Sí,Sí,No,Sí,"Avinguda de Roma, 32",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
