Codi_Barri,Nom_Barri,poblacio_total,n_refugis_brut,n_refugis_filtrat,taxa_brut,taxa_filtrat,caiguda_absoluta,caiguda_pct,index_vulnerabilitat
46,el Turó de la Peira,17339,6,2,0.3460407174577542,0.1153469058192514,0.23069381163850283,66.7,0.5547945205479452
47,Can Peguera,2046,1,1,0.4887585532746823,0.4887585532746823,0.0,0.0,0.726027397260274
48,la Guineueta,15587,4,3,0.256624109835119,0.19246808237633925,0.06415602745877977,25.0,0.7876712328767124
49,Canyelles,6889,4,3,0.5806357961968355,0.43547684714762663,0.14515894904920884,25.0,0.821917808219178
50,les Roquetes,17554,4,2,0.2278682921271505,0.11393414606357526,0.11393414606357526,50.0,0.5821917808219178
51,Verdun,13475,3,3,0.22263450834879406,0.22263450834879406,0.0,0.0,0.5821917808219178
52,la Prosperitat,28076,9,5,0.32055848411454624,0.17808804673030346,0.14247043738424278,44.4,0.7397260273972603
53,la Trinitat Nova,8102,3,3,0.37027894347074797,0.37027894347074797,0.0,0.0,0.595890410958904
54,Torre Baró,3187,3,2,0.9413241292751804,0.6275494195167869,0.3137747097583935,33.3,0.4794520547945205
55,Ciutat Meridiana,11483,4,1,0.34834102586432114,0.08708525646608029,0.26125576939824086,75.0,0.589041095890411
56,Vallbona,1289,1,1,0.7757951900698216,0.7757951900698216,0.0,0.0,0.4931506849315068
57,la Trinitat Vella,11283,8,5,0.7090312860054949,0.44314455375343437,0.26588673225206055,37.5,0.5410958904109588
58,Baró de Viver,2618,1,1,0.3819709702062643,0.3819709702062643,0.0,0.0,0.5684931506849316
59,el Bon Pastor,15806,7,3,0.4428697962798937,0.1898013412628116,0.2530684550170821,57.1,0.4726027397260274
60,Sant Andreu,59199,36,5,0.6081183803780469,0.08446088616361763,0.5236574942144292,86.1,0.6164383561643836
61,la Sagrera,31144,10,4,0.3210891343436938,0.12843565373747753,0.19265348060621626,60.0,0.6986301369863014
62,el Congrés i els Indians,15218,4,3,0.2628466289919832,0.19713497174398736,0.06571165724799582,25.0,0.5068493150684932
63,Navas,22581,3,1,0.13285505513484788,0.04428501837828263,0.08857003675656525,66.7,0.6164383561643836
64,el Camp de l'Arpa del Clot,39469,6,3,0.15201803947401757,0.07600901973700878,0.07600901973700878,50.0,0.5753424657534247
65,el Clot,26850,8,1,0.297951582867784,0.037243947858473,0.260707635009311,87.5,0.5205479452054794
66,el Parc i la Llacuna del Poblenou,17595,7,4,0.39784029553850525,0.22733731173628874,0.1705029838022165,42.9,0.3287671232876712
67,la Vila Olímpica del Poblenou,9187,3,0,0.32654838358550126,0.0,0.32654838358550126,100.0,0.2465753424657534
68,el Poblenou,34636,11,3,0.31758863610116644,0.08661508257304538,0.23097355352812105,72.7,0.2363013698630137
69,Diagonal Mar i el Front Marítim del Poblenou,13671,3,1,0.21944261575597981,0.0731475385853266,0.1462950771706532,66.7,0.1952054794520548
70,el Besòs i el Maresme,30568,11,6,0.3598534415074588,0.1962836953677048,0.163569746139754,45.5,0.5342465753424657
